F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 S  1000  7957  6527  0  80   0 - 192545 futex_ ?       00:00:07 chrome
1 S     0  7975     2  0  80   0 -     0 -      ?        00:00:00 kworker/2:1
0 S  1000  8017  4595  0  80   0 -  7410 wait_w pts/18   00:00:00 bash
1 S     0  8237     2  0  80   0 -     0 -      ?        00:00:00 kworker/0:0
1 S     0  8351     2  0  80   0 -     0 -      ?        00:00:00 kworker/1:0
1 S     0  8510     2  0  80   0 -     0 -      ?        00:00:00 kworker/2:2
1 S     0  8672     2  0  80   0 -     0 -      ?        00:00:00 kworker/u8:1
1 S  1000  8902  6527  0  80   0 - 179939 futex_ ?       00:00:00 chrome
1 S     0  8927     2  0  80   0 -     0 -      ?        00:00:00 kworker/3:0
0 S  1000  8930  4595  0  80   0 -  7403 wait   pts/19   00:00:00 bash
1 S  1000  8970  6527  0  80   0 - 177355 futex_ ?       00:00:00 chrome
1 S  1000  9003  6527  0  80   0 - 180072 futex_ ?       00:00:00 chrome
1 S     0  9016     2  0  80   0 -     0 -      ?        00:00:00 kworker/1:2
0 S  1000  9019  8930  0  80   0 -  6341 wait   pts/19   00:00:00 man
0 S  1000  9031  9019  0  80   0 -  4181 wait_w pts/19   00:00:00 pager
0 S  1000  9052  4595  0  80   0 -  7387 wait   pts/20   00:00:00 bash
1 S  1000  9064  6527  0  80   0 - 180150 futex_ ?       00:00:01 chrome
1 S     0  9355     2  0  80   0 -     0 -      ?        00:00:00 kworker/0:1
1 S  1000  9357  6527  1  80   0 - 187225 futex_ ?       00:00:07 chrome
1 S  1000  9370  6527  0  80   0 - 167987 futex_ ?       00:00:00 chrome
1 S     0  9384     2  0  80   0 -     0 -      ?        00:00:00 kworker/3:1
1 S     0  9393     2  0  80   0 -     0 -      ?        00:00:00 kworker/u8:3
1 S     0  9470     2  0  80   0 -     0 -      ?        00:00:00 kworker/u8:0
4 R  1000  9496  9052  0  80   0 -  8996 -      pts/20   00:00:00 ps
